job_id,job_role,company,experience,salary,location,rating,reviews,responsibilities,posted_on,job_link,company_link,job_description,tags,company_logo_url
150624500129,"Manager, Data Science and Data Engineering",Visa,0-3 Yrs,Not disclosed,Bengaluru,4.0,262  Reviews,"Microstrategy,Risk analytics,Analytical,Consulting,Machine learning,market data,Open source,Stakeholder management",Today,https://www.naukri.com/job-listings-manager-data-science-and-data-engineering-visa-inc-bengaluru-0-to-3-years-150624500129,https://www.naukri.com/visa-jobs-careers-667281,Team  Summary   Visa Consulting & Analytics (VCA) team is a key part of the Global So...,"Microstrategy, Risk analytics, Analytical, Consulting, Machine learning, market data, Open source, Stakeholder management",https://img.naukimg.com/logo_images/groups/v1/135342.gif
140624500142,"Manager, Data Science, Visa Consulting and Analytics",Visa,0-3 Yrs,Not disclosed,Bengaluru,4.0,262  Reviews,"Microstrategy,Risk analytics,Analytical,Consulting,Machine learning,market data,Open source,Stakeholder management",1 Day Ago,https://www.naukri.com/job-listings-manager-data-science-visa-consulting-and-analytics-visa-inc-bengaluru-0-to-3-years-140624500142,https://www.naukri.com/visa-jobs-careers-667281,Team  Summary   Visa Consulting & Analytics (VCA) team is a key part of the Global So...,"Microstrategy, Risk analytics, Analytical, Consulting, Machine learning, market data, Open source, Stakeholder management",https://img.naukimg.com/logo_images/groups/v1/135342.gif
130624501324,Business Analyst,Morningstar,0-2 Yrs,Not disclosed,Mumbai,3.9,913  Reviews,"Business analysis,Analytical,Intellectual property,Agile,Asset management,Operations,Financial services,Monitoring",2 Days Ago,https://www.naukri.com/job-listings-business-analyst-morningstar-india-p-ltd-mumbai-0-to-2-years-130624501324,https://www.naukri.com/morningstar-jobs-careers-54819,". A minimum of a bachelors degree . Understanding of SQL . ., Python . ., . Relational ...","Business analysis, Analytical, Intellectual property, Agile, Asset management, Operations, Financial services, Monitoring",https://img.naukimg.com/logo_images/groups/v1/42452.gif
140624500139,Sr. Data Scientist,Visa,0-3 Yrs,Not disclosed,Bengaluru,4.0,262  Reviews,"Computer science,Operations research,Business analytics,Analytical,Predictive modeling,Business solutions,Financial services,Product marketing",1 Day Ago,https://www.naukri.com/job-listings-sr-data-scientist-visa-inc-bengaluru-0-to-3-years-140624500139,https://www.naukri.com/visa-jobs-careers-667281,Provide technical leadership in a team that generates business insights based on big da...,"Computer science, Operations research, Business analytics, Analytical, Predictive modeling, Business solutions, Financial services, Product marketing",https://img.naukimg.com/logo_images/groups/v1/135342.gif
310524500825,ESG Data Analyst  - ESG Newsroom,Institutional Shareholder Services,0-3 Yrs,Not disclosed,Mumbai,3.9,82  Reviews,"Analyst,Environmental science,Corporate governance,Business analytics,Diversity and Inclusion,Finance,ISS,Data Analyst",15 Days Ago,https://www.naukri.com/job-listings-esg-data-analyst-esg-newsroom-institutional-shareholder-services-inc-mumbai-0-to-3-years-310524500825,https://www.naukri.com/institutional-shareholder-services-jobs-careers-3242578,"bachelors Degree (in a relevant field such as Business Analytics, Economics, Journalism...","Analyst, Environmental science, Corporate governance, Business analytics, Diversity and Inclusion, Finance, ISS, Data Analyst",https://img.naukimg.com/logo_images/groups/v1/4674413.gif
030624503040,Index Data Research Analyst / Junior Analyst,Institutional Shareholder Services,0-2 Yrs,Not disclosed,Mumbai,3.9,82  Reviews,"Junior Analyst,Data analysis,Manager Quality Assurance,French,Data Research Analyst,German,Spanish,MS Office",12 Days Ago,https://www.naukri.com/job-listings-index-data-research-analyst-junior-analyst-institutional-shareholder-services-inc-mumbai-0-to-2-years-030624503040,https://www.naukri.com/institutional-shareholder-services-jobs-careers-3242578,"Hold a University degree (bachelor or above) in finance, economics, data analysis, math...","Junior Analyst, Data analysis, Manager Quality Assurance, French, Data Research Analyst, German, Spanish, MS Office",https://img.naukimg.com/logo_images/groups/v1/4674413.gif
140624008922,Data Science Intern,cult fit,0-1 Yrs,Not disclosed,Bengaluru,3.8,696  Reviews,"python,natural language processing,analytical,scikit-learn,microsoft azure,numpy,machine learning,pandas",1 Day Ago,https://www.naukri.com/job-listings-data-science-intern-cultfit-healthcare-private-limited-bengaluru-0-to-1-years-140624008922,https://www.naukri.com/cult-fit-jobs-careers-3000464,"Currently pursuing a Bachelors or Masters degree in Data Science, Computer Science, Sta...","python, natural language processing, analytical, scikit-learn, microsoft azure, numpy, machine learning, pandas",https://img.naukimg.com/logo_images/groups/v1/4586347.gif
100624503196,Business Analytics I,AMERICAN EXPRESS,0-3 Yrs,Not disclosed,Gurugram,4.2,2734  Reviews,"Career development,Automation,Sales,Finance,Business analytics,Analytical,Stakeholder management,Analytics",5 Days Ago,https://www.naukri.com/job-listings-business-analytics-i-american-express-company-gurugram-0-to-3-years-100624503196,https://www.naukri.com/american-express-jobs-careers-2256,Minimum Qualifications . 0 - 3 years of relevant work experience or Bachelors Degree in...,"Career development, Automation, Sales, Finance, Business analytics, Analytical, Stakeholder management, Analytics",https://img.naukimg.com/logo_images/groups/v1/82242.gif
130624500904,GRC/IRM Business Analyst,Northern Trust,0-2 Yrs,Not disclosed,Pune,4.1,978  Reviews,"Training,Automation,Business Analyst,Test scripts,Analytical,Finance,HR,Risk management",2 Days Ago,https://www.naukri.com/job-listings-grc-irm-business-analyst-northern-trust-corp-pune-0-to-2-years-130624500904,https://www.naukri.com/northern-trust-jobs-careers-600263,Experience with ServiceNow GRC / IRM modules . Proficiency in business requirements gat...,"Training, Automation, Business Analyst, Test scripts, Analytical, Finance, HR, Risk management",https://img.naukimg.com/logo_images/groups/v1/4615289.gif
100624500361,"Social work, rehabilitation - MMRDA - IBU",Tata Consulting Engineers,0-3 Yrs,Not disclosed,Mumbai,3.8,1411  Reviews,"site execution,project management,flyovers,social work,autocad,master data management,railways,billing",5 Days Ago,https://www.naukri.com/job-listings-social-work-rehabilitation-mmrda-ibu-tata-consulting-engineers-limited-mumbai-0-to-3-years-100624500361,https://www.naukri.com/tata-consulting-engineers-jobs-careers-15989,Master of Social Work Graduate in any Engineering Total 15 years of professional ...,"site execution, project management, flyovers, social work, autocad, master data management, railways, billing",https://img.naukimg.com/logo_images/groups/v1/18362.gif
