job_id,job_role,company,experience,salary,location,rating,reviews,responsibilities,posted_on,job_link,company_link,job_description,tags,company_logo_url
140624011582,Exhibition Stand Designer /  3D Designer,SAMRIDDHI IMPEX,3-8 Yrs,3-8 Lacs PA,Noida(Sector-83 Noida),,,"3D,Rendering,3D Modeler,3D Designing,3D Modeling,Sketchup,AutoCAD 3D,VRAY",1 Day Ago,https://www.naukri.com/job-listings-exhibition-stand-designer-3d-designer-samriddhi-impex-noida-3-to-8-years-140624011582,https://www.naukri.com/samriddhi-impex-jobs-careers-972014,"Bachelors degree or Diploma in Design, Architecture, or a related field. . 3+ years of ...","3D, Rendering, 3D Modeler, 3D Designing, 3D Modeling, Sketchup, AutoCAD 3D, VRAY",
140624011376,Digital Marketing Manager,SAMRIDDHI IMPEX (Triumfo),4-8 Yrs,6-8 Lacs PA,Noida(Sector-83 Noida),,,"Digital Campaigns,Digital Marketing,Email Marketing,Online Lead Generation,Performance Marketing,PPC,Google AdWords,Social Media Marketing",1 Day Ago,https://www.naukri.com/job-listings-digital-marketing-manager-samriddhi-impex-triumfo-noida-4-to-8-years-140624011376,https://www.naukri.com/samriddhi-impex-jobs-careers-972014,"Oversee the development and maintenance of the companys website, ensuring its effective...","Digital Campaigns, Digital Marketing, Email Marketing, Online Lead Generation, Performance Marketing, PPC, Google AdWords, Social Media Marketing",
140624007224,Planning Engineer,La Sorogeeka Interiors,6-9 Yrs,Not disclosed,Noida(Yakubpur),3.4,27  Reviews,"Scheduling,Planning,Primavera,Planning Engineering,Project Scheduling,Project,Engineering",1 Day Ago,https://www.naukri.com/job-listings-planning-engineer-la-sorogeeka-interiors-noida-6-to-9-years-140624007224,https://www.naukri.com/la-sorogeeka-jobs-careers-5846698,Escalate matters as required to MD- in case the activities not completed on time. Proac...,"Scheduling, Planning, Primavera, Planning Engineering, Project Scheduling, Project, Engineering",
140624005484,Management Trainee || Talent Acquisition,Synergy Innovation,0-1 Yrs,1-2.5 Lacs PA,"Noida(Noida Extension), Lucknow, Greater Noida(Dadri +2)",,,"Talent Acquisition,Staffing,Analytical Skills,End To End Recruitment,Business Communication Skills,Sourcing,Interviewing,Recruitment",1 Day Ago,https://www.naukri.com/job-listings-management-trainee-talent-acquisition-synergy-innovation-noida-lucknow-greater-noida-0-to-1-years-140624005484,,5 days working Proven work experience as an HR Recruiter Experience with sourcing techn...,"Talent Acquisition, Staffing, Analytical Skills, End To End Recruitment, Business Communication Skills, Sourcing, Interviewing, Recruitment",
130624011032,Content Management Executive,Dailyhunt,1-2 Yrs,"50,000-2 Lacs PA",Noida(Noida-Greater Noida Expressway +1),3.9,53  Reviews,"Proficient in uploading videos on platforms such as YouTube,and Twitter. Strong knowledge of SEO/SMO techniques,keywords,sports,Instagram,Facebook,including effective use of tags,Youtube",2 Days Ago,https://www.naukri.com/job-listings-content-management-executive-dailyhunt-noida-1-to-2-years-130624011032,https://www.naukri.com/dailyhunt-jobs-careers-264249,Available to work in rotational shifts as requiredMale Candidates. Work from Office. Da...,"Proficient in uploading videos on platforms such as YouTube, and Twitter. Strong knowledge of SEO/SMO techniques, keywords, sports, Instagram, Facebook, including effective use of tags, Youtube",https://img.naukimg.com/logo_images/groups/v1/1940648.gif
130624010336,Network Engineer L1,Gxi Networks,1-5 Yrs,"50,000-3 Lacs PA","Noida(Noida-Greater Noida Expressway), New Delhi, Delhi / NCR",,,"Troubleshooting Skills,Routing And Switching,Routing,Routing Protocols,CCNA,CCNP,Switching,Cisco Routers",2 Days Ago,https://www.naukri.com/job-listings-network-engineer-l1-gxi-networks-noida-new-delhi-delhi-ncr-1-to-5-years-130624010336,https://www.naukri.com/gxi-networks-jobs-careers-5664780,The position is subject to shift work and a candidate would be expected to move to diff...,"Troubleshooting Skills, Routing And Switching, Routing, Routing Protocols, CCNA, CCNP, Switching, Cisco Routers",
130624009409,Client Service Representative (Exhibitions & Events),Sconce Global,3-4 Yrs,5.5-6.5 Lacs PA,Noida(Sector-81 Noida),3.8,17  Reviews,"Client Servicing,Communication Skills,Presentation Skills,Time Management,Event Management,Adaptability,Client Relationship,Problem Solving Skills",2 Days Ago,https://www.naukri.com/job-listings-client-service-representative-exhibitions-events-sconce-global-pvt-ltd-noida-3-to-4-years-130624009409,https://www.naukri.com/sconce-global-jobs-careers-3065312,"Preferred candidate profile . Detail-oriented, communicative, and adaptable candidate w...","Client Servicing, Communication Skills, Presentation Skills, Time Management, Event Management, Adaptability, Client Relationship, Problem Solving Skills",
130624006781,Account Executive,DJ PVT LTD,3-6 Yrs,3.5-5 Lacs PA,Noida(Phase-II),,,"GOOD KNOWLEDGE OF BOOK KEEPING,TDS,GST,Book Keeping,Accounting",2 Days Ago,https://www.naukri.com/job-listings-account-executive-dj-pvt-ltd-noida-3-to-6-years-130624006781,https://www.naukri.com/divya-jewellers-jobs-careers-679698,Role & responsibilities DAY TO DAY ACCOUNTING WORKPreferred candidate profile B-COM GRA...,"GOOD KNOWLEDGE OF BOOK KEEPING, TDS, GST, Book Keeping, Accounting",
130624006497,Night Manager - Sales and Operations,University Living Accommodation,7-10 Yrs,8-12 Lacs PA,Noida(Sector-136 Noida),3.9,70  Reviews,"Sales Operations,Communication Skills,operations,Operations Management,Management,Sales,Servicing",2 Days Ago,https://www.naukri.com/job-listings-night-manager-sales-and-operations-university-living-accommodation-noida-7-to-10-years-130624006497,https://www.naukri.com/university-living-accommodation-jobs-careers-3042012,Role & responsibilities Preferred candidate profile Perks and benefits,"Sales Operations, Communication Skills, operations, Operations Management, Management, Sales, Servicing",https://img.naukimg.com/logo_images/groups/v1/4636933.gif
120624014671,Vice President Sales,Bullmen Realty,1-6 Yrs,"50,000-1 Lacs PA","Noida(Noida-Greater Noida Expressway +1), Gurugram",2.9,132  Reviews,"Customer Calling,Commercial Sales,Real Estate Sales,Residential Sales,Customer Handling,Real Estate,sales,Handling",2 Days Ago,https://www.naukri.com/job-listings-vice-president-sales-bullmen-realty-pvt-ltd-noida-gurugram-1-to-6-years-120624014671,https://www.naukri.com/bullmen-realty-jobs-careers-2079462,The candidates applying for the said location mentioned must have experience in working...,"Customer Calling, Commercial Sales, Real Estate Sales, Residential Sales, Customer Handling, Real Estate, sales, Handling",https://img.naukimg.com/logo_images/groups/v1/1566666.gif
